href,text
https://mipt.one/,"
				"
https://forecast7.com/ru/55d9537d50/dolgoprudny/,Погода в Долгопрудном
https://text.ru/,Проверка на плагиат
https://mipt1.ru/,В помощь раздолбаю
https://vk.com/fanclub_letchikleha,Клуб фанатов ЛЛ
https://drive.google.com/drive/folders/0B5U2D1zceCRyZ1FDaWVUUzNWVVE,Тупой скат 
https://vk.com/tupoy_skat,VK
https://drive.google.com/drive/folders/0BzLQByfHfn5bd1hETFJYc2x3UzQ,Наследие 2.0
https://drive.google.com/drive/folders/1nAHobOEDrF2bgNwkcbYO_ib3lARjrhc-,MIPT+RANEPA Data Base
https://vk.com/t_p_phystech,ТПФ
https://vk.com/club188560953,Лаборант Дима и Карлсон
https://mipt.ru/education/elektronnoe-obuchenie/virtualRooms/,Виртуальные аудитории МФТИ
https://mipt.ru/online/,Онлайн-лекции МФТИ
https://mipt.lectoriy.ru/,Лекторий МФТИ
https://www.feynmanlectures.caltech.edu/,The Feynman Lectures on Physics
http://moodle.phystech.edu/login/index.php,Moodle
https://translate.google.com/,Google Translate
https://chrome.google.com/webstore/detail/moodle-breaker/engmdgoencliofhoomjomajchpiljoio,Moodle Breaker
http://ejudge.mipt.ru/,Ejudge
https://www.wolframalpha.com/,Wolfram|Alpha
https://www.symbolab.com/,Symbolab
https://www.desmos.com/calculator,Desmos Graphing
https://docs.google.com/document/,Google Docs
https://docs.google.com/spreadsheets/,Google Sheets
https://docs.google.com/presentation/,Google Slides
https://pixlr.com/x/,Pixlr X
https://lib.mipt.ru/,Эл. библ. Физтеха
https://ru.book4you.org/,Z-Lib
loginlibhuwhnmis.onion/,.onion ссылка
http://flibustahezeous3.onion/,Флибуста .onion
https://rutracker.org/forum/index.php,Rutracker (заблокирован)
https://profile.mipt.ru/,Личный кабинет МФТИ
https://mipt.ru/about/departments/uchebniy/schedule/,Расписания
https://lms.mipt.ru/login/index.php,LMS МФТИ
https://mipt.ru/students/life/poliklinika/,Поликлиника МФТИ
http://wikimipt.org/wiki/,ВикиФизтех
http://miptstream.ru/,Поток
https://vk.com/@dbmp_council-pamyatka-pervokursnika,Памятка первокурсника
https://mipt.one/images/miptmap.png,Карта МФТИ
https://mipt.ru/education/chair/mathematics/,Каф. высшей математики
https://mipt.ru/education/chair/sport/,Департамент ... спорта
https://docs.google.com/spreadsheets/d/1WQTbTC6MpcvPmfJOpiPNoM8vMLMwi6UBAE1f3xiC4_c/edit?usp=sharing,Спортивные секции контакты
https://mipt.ru/education/chair/,Еще кафедры
https://mipt.ru/it/services/pochtovye-servisy/polucheniye_pochtovogo_akkaunta_v_domene_phystech_edu/poluchenie-pochtovogo-akkaunta-v-domene-phystech-edu-dlya-studentov,Получение @phystech.edu 
https://mipt.ru/it/services/poluchenie-litsenzionnogo-po/poluchenie-litsenzionnogo-po,ПО от Microsoft
https://docs.google.com/forms/d/e/1FAIpQLScmCLlgmGT_pzSAc7oBbxU4Yi9njZj51peGzkYkJXtORpmFEQ/viewform,Доступ к курсам на Coursera
https://mipt.ru/profkom/,Профком МФТИ 
https://vk.com/profkom_phystech,VK
https://lk.ranepa.ru/profile/,ЛК Ранх'а 
https://lms.ranepa.ru/login/index.php,LMS Ранх'а
https://palqa.ru/,Palqa
https://vk.com/palqa,VK
https://veryfood.ru/,Veryfood
https://vk.com/coffeemipt,Кофейня 6-ки
https://printbox.io/,Printbox
http://mipt-telecom.ru/,МФТИ-Телеком
https://docs.google.com/document/d/1NQTDzBdDqSEN41W76ettTOdQ6SoAfF9cPvHAWyir1II/edit?usp=sharing,Велопрокат
https://buy.mipt.cc/,Барахолка Физтеха
https://vk.com/phystech.vape,Физтех.Вейп
https://www.tsescorts.com/thailand/shemale-escorts,tsescorts.com
http://miptstream.ru/,
javascript: void(0),
http://miptstream.ru/category/news/,Новости
http://miptstream.ru/category/articles/,Статьи
http://miptstream.ru/study/,Учебные материалы
http://miptstream.ru/courses/,Каталог курсов по выбору
http://miptstream.ru/data/,База знаний
http://miptstream.ru/vacancy/,Атлас вакансий
http://miptstream.ru/about/,О проекте
https://twitter.com/miptstream,Твиты пользователя @miptstream
http://miptstream.ru/2020/11/24/interactive-physic-experiments/,"
                "
http://miptstream.ru/2020/11/24/interactive-physic-experiments/,Оплачиваемая стажировка в области разработки интерактивных экспериментов по физике
http://miptstream.ru/2020/11/24/job-abbyy-2020/,"
                "
http://miptstream.ru/2020/11/24/job-abbyy-2020/,Вакансии в ABBYY
http://miptstream.ru/2020/11/22/biophysics-phd-edinburgh-university/,"
                "
http://miptstream.ru/2020/11/22/biophysics-phd-edinburgh-university/,Аспирантура по теоретической биофизике в Университете Эдинбурга
http://miptstream.ru/2020/11/22/phd-epfl-cs-department/,"
                "
http://miptstream.ru/2020/11/22/phd-epfl-cs-department/,PhD программа на факультете компьютерных наук института EPFL
http://miptstream.ru/2020/11/08/medical-instrumentation-lab-work/,"
                "
http://miptstream.ru/2020/11/08/medical-instrumentation-lab-work/,Работа в лаборатории медицинского приборостроения МФТИ
http://miptstream.ru/2020/11/08/sportmaster-lab-junior-data-scientist-position/,"
                "
http://miptstream.ru/2020/11/08/sportmaster-lab-junior-data-scientist-position/,«Sportmaster Lab» ищет Junior Data Scientist
http://miptstream.ru/2020/11/08/digital-ball-event/,"
                "
http://miptstream.ru/2020/11/08/digital-ball-event/,Мероприятие «Цифровой бал»
http://miptstream.ru/2020/09/08/interview-phystech-start/,"
                "
http://miptstream.ru/2020/09/08/interview-phystech-start/,"Интервью с партнерами Клуба менторов о нюансах, пользе и вреде работы с наставником"
http://miptstream.ru/2020/09/07/mentor-club/,"
                "
http://miptstream.ru/2020/09/07/mentor-club/,Открыт набор для студентов в Клубе менторов Физтех-Союза
http://miptstream.ru/2020/08/26/itogi-otkrytoj-onlajn-vstrechi-rektor/,"
                "
